,city,loc_kor,aged_per,aged_num,population
162,충청남도,태안군,30.2,18851,62324
164,전라북도,전주시,14.5,95110,655519
165,전라북도,군산시,18.2,49012,268766
166,전라북도,익산시,19.0,54333,285431
167,전라북도,정읍시,27.1,29792,109951
168,전라북도,남원시,27.4,22262,81257
169,전라북도,김제시,31.0,25947,83570
170,전라북도,완주군,22.6,20800,92135
171,전라북도,진안군,34.0,8722,25621
172,전라북도,무주군,32.9,7961,24178
173,전라북도,장수군,33.1,7382,22277
174,전라북도,임실군,35.2,9888,28073
175,전라북도,순창군,33.2,9359,28155
176,전라북도,고창군,33.6,18537,55190
177,전라북도,부안군,32.4,17123,52813
179,전라남도,목포시,16.0,36716,229009
180,전라남도,여수시,18.7,52832,281794
181,전라남도,순천시,15.3,43104,281873
182,전라남도,나주시,22.3,25495,114516
183,전라남도,광양시,12.8,19391,151372
184,전라남도,담양군,30.5,14095,46265
185,전라남도,곡성군,35.4,10112,28569
186,전라남도,구례군,33.6,8718,25976
187,전라남도,고흥군,40.3,26014,64581
188,전라남도,보성군,37.7,15542,41232
189,전라남도,화순군,26.3,16440,62493
190,전라남도,장흥군,33.3,12784,38333
191,전라남도,강진군,34.0,11963,35161
192,전라남도,해남군,31.7,22101,69804
193,전라남도,영암군,26.1,14204,54335
194,전라남도,무안군,20.9,17010,81409
195,전라남도,함평군,35.7,11642,32630
196,전라남도,영광군,28.5,15307,53625
197,전라남도,장성군,29.0,13185,45412
198,전라남도,완도군,31.8,16013,50431
199,전라남도,진도군,33.2,10141,30564
200,전라남도,신안군,35.5,14154,39906
202,경상북도,포항시,16.6,84087,505479
203,경상북도,경주시,21.8,55588,254441
204,경상북도,김천시,22.5,31692,140609
205,경상북도,안동시,24.2,38481,159338
206,경상북도,구미시,9.2,38385,418436
207,경상북도,영주시,26.4,27624,104557
208,경상북도,영천시,27.6,28010,101630
209,경상북도,상주시,30.3,30034,98967
210,경상북도,문경시,29.5,21102,71527
211,경상북도,경산시,16.3,43029,263285
212,경상북도,군위군,39.4,9301,23614
213,경상북도,의성군,40.5,21210,52333
214,경상북도,청송군,36.4,9215,25340
215,경상북도,영양군,36.7,6194,16884
216,경상북도,영덕군,36.7,13561,36969
217,경상북도,청도군,36.8,15731,42727
218,경상북도,고령군,30.6,9770,31968
219,경상북도,성주군,31.2,13645,43682
220,경상북도,칠곡군,15.3,17784,115924
221,경상북도,예천군,29.9,16597,55452
222,경상북도,봉화군,35.5,11347,31951
223,경상북도,울진군,27.5,13467,48957
224,경상북도,울릉군,25.1,2347,9348
226,경상남도,진주시,16.4,57027,347546
227,경상남도,통영시,18.7,24366,130450
228,경상남도,사천시,21.4,23813,111517
229,경상남도,김해시,10.9,58891,542678
230,경상남도,밀양시,27.6,29022,105309
231,경상남도,거제시,10.3,25566,247487
232,경상남도,양산시,13.1,45916,351496
233,경상남도,창원시,13.8,143853,1042260
234,경상남도,의령군,36.3,9802,27040
235,경상남도,함안군,23.9,15584,65089
236,경상남도,창녕군,30.0,18609,61934
237,경상남도,고성군,30.4,15785,51946
238,경상남도,남해군,37.2,16128,43351
239,경상남도,하동군,33.2,15258,45934
240,경상남도,산청군,35.6,12561,35265
241,경상남도,함양군,32.9,12957,39404
242,경상남도,거창군,27.2,16816,61822
243,경상남도,합천군,38.6,17297,44813
245,제주특별자치도,제주시,13.9,67965,489271
246,제주특별자치도,서귀포시,18.9,34188,181237
