,address,lat,long
87,부산진구 복지로 75,35.1455173,129.0208609
88,부산진구 황령대로8번길 36,35.1461176,129.0596963
89,부산진구 가야대로 721,35.157851,129.0498801
90,부산진구 양정로 62,35.1698203,129.076514
91,부산진구 중앙대로 605,35.1469602,129.0583786
92,북구 금곡대로 348,35.2393031,129.0147663
93,북구 만덕대로 59,35.2119276,129.0112115
94,부산 북구 낙동대로 1786(구포동) ,35.2097132,129.0047235
95,사상구 학감대로 242,35.152624,128.99125
96,사상구 가야대로 326 (주례동),35.1505,129.0081663
97,하신번영로127번길 2(신평동),35.0941624,128.9595517
98,부용로 30,36.9634824,127.0591861
99,서구 대신공원로 26,35.12019,129.017425
100,서구 감천로 262,35.0809636,129.0139595
101,서구 대티로 170,35.112774,129.011113
102, 수영구 수영로 493,35.1500632,129.1106162
103,수영로 615(광안동),35.16088,129.1131037
104, 수영구 수영로 637-5,35.1624667,129.1135193
105,연제구 연제로 2,35.176242,129.079764
106, 영도구 태종로 423,35.091199,129.067875
107,부산시 영도구 태종로 85,35.0922416,129.0405236
108,부산시 영도구 태종로 133(봉래동 3가),35.0919442,129.043866
109,중구 중구로 120,35.106214,129.032352
110,중구 중구로 121,35.1076838,129.0324148
111,해운대구 양운로37번길 59,35.1641288,129.1786555
112,해운대구 해운대로584,35.1614208,129.1556545
113,해운대구 해운대로 875,35.173443,129.182013
114,대구시 남구 현충로 170(대명동),35.848107,128.58205
115,대구시 남구 두류공원로17길33(대명동),35.8436078,128.5679969
116,대구시 남구 영선길 34 ,35.8539088,128.5915213
117,대구 남구 성당로 224,35.8530071,128.5740875
118,대구 남구 대명로 153,35.839628,128.574456
119,대구광역시 달서구 학산로 45,35.8298667,128.5327375
120,대구 달서구 달구벌대로 1035(신당동),35.8538856,128.4801315
121,대구광역시 달서구 구마로 128,35.8367614,128.5416682
122,대구광역시 달서구 감삼북길 141,35.8506394,128.5413832
123,대구광역시 달서구 월배로 446,35.833148,128.5541817
124,대구광역시 달서구 달구벌대로 1632,35.8526417,128.5449673
125,대구 달서구 구마로 220,35.836849,128.551688
126,대구 달성군 현풍읍 비슬로130길 17 ,35.6947968,128.4403148
127,대구시 동구 아양로 99(심암동),35.8842611,128.6244071
128,대구광역시 동구 동촌로 79 ,35.8881092,128.6512428
129,대구시 북구 호국로 807(학정동),35.9564207,128.5646727
130,대구광역시 북구 성북로 49,35.8918522,128.5888919
131,대구광역시 북구 칠곡중앙대로 440,35.9348896,128.549289
132,(703-701)대구 서구 국채보상로 257,,
133,대구광역시 수성구 수성로 213,35.8449587,128.611932
134,대구광역시 중구 태평로 45 ,35.8778008,128.5833556
135,인천시 강화군 강화읍 충혈사로 36-1,,
